State_Name,Year,Poll,District,LB_Name,Ward_No,Ward_Reservation,Party_Abbreviation,Position,Status,N_Cand,Vote_Share_Percentage,Voter_Turnout_Percentage
Telangana,2020,0,Nizamabad,Nizamabad MC,5,Unreserved (Women),IND,5,,5,0.416,72.365
Telangana,2020,0,Nizamabad,Nizamabad MC,5,Unreserved (Women),,6,,5,0.294,72.365
Telangana,2020,0,Nizamabad,Nizamabad MC,6,Backward Classes (Women),BJP,1,,5,73.327,53.28
Telangana,2020,0,Nizamabad,Nizamabad MC,6,Backward Classes (Women),TRS,2,,5,22.065,53.28
Telangana,2020,0,Nizamabad,Nizamabad MC,6,Backward Classes (Women),IND,3,,5,1.076,53.28
Telangana,2020,0,Nizamabad,Nizamabad MC,6,Backward Classes (Women),TDP,4,,5,0.841,53.28
Telangana,2020,0,Nizamabad,Nizamabad MC,6,Backward Classes (Women),AIFB,5,,5,0.807,53.28
Telangana,2020,0,Nizamabad,Nizamabad MC,6,Backward Classes (Women),,6,,5,0.875,53.28
Telangana,2020,0,Nizamabad,Nizamabad MC,7,Unreserved,BJP,1,,9,28.917,63.012
Telangana,2020,0,Nizamabad,Nizamabad MC,7,Unreserved,IND,2,,9,27.246,63.012
Telangana,2020,0,Nizamabad,Nizamabad MC,7,Unreserved,IND,3,,9,15.518,63.012
Telangana,2020,0,Nizamabad,Nizamabad MC,7,Unreserved,TRS,4,,9,14.682,63.012
Telangana,2020,0,Nizamabad,Nizamabad MC,7,Unreserved,INC,5,,9,7.759,63.012
Telangana,2020,0,Nizamabad,Nizamabad MC,7,Unreserved,IND,6,,9,3.074,63.012
Telangana,2020,0,Nizamabad,Nizamabad MC,7,Unreserved,IND,7,,9,1.164,63.012
Telangana,2020,0,Nizamabad,Nizamabad MC,7,Unreserved,IND,8,,9,0.239,63.012
Telangana,2020,0,Nizamabad,Nizamabad MC,7,Unreserved,IND,9,,9,0.179,63.012
Telangana,2020,0,Nizamabad,Nizamabad MC,7,Unreserved,,10,,9,0.537,63.012
Telangana,2020,0,Nizamabad,Nizamabad MC,8,Backward Class,BJP,1,,7,59.05,56.02
Telangana,2020,0,Nizamabad,Nizamabad MC,8,Backward Class,TRS,2,,7,15.799,56.02
Telangana,2020,0,Nizamabad,Nizamabad MC,8,Backward Class,IND,3,,7,11.425,56.02
Telangana,2020,0,Nizamabad,Nizamabad MC,8,Backward Class,INC,4,,7,6.863,56.02
Telangana,2020,0,Nizamabad,Nizamabad MC,8,Backward Class,IND,5,,7,3.733,56.02
Telangana,2020,0,Nizamabad,Nizamabad MC,8,Backward Class,IND,6,,7,1.395,56.02
Telangana,2020,0,Nizamabad,Nizamabad MC,8,Backward Class,CPI,7,,7,0.226,56.02
Telangana,2020,0,Nizamabad,Nizamabad MC,8,Backward Class,,8,,7,0.641,56.02
Telangana,2020,0,Nizamabad,Nizamabad MC,9,Scheduled Caste,BJP,1,,6,35.883,55.428
Telangana,2020,0,Nizamabad,Nizamabad MC,9,Scheduled Caste,TRS,2,,6,31.773,55.428
Telangana,2020,0,Nizamabad,Nizamabad MC,9,Scheduled Caste,AIFB,3,,6,15.618,55.428
Telangana,2020,0,Nizamabad,Nizamabad MC,9,Scheduled Caste,INC,4,,6,5.504,55.428
Telangana,2020,0,Nizamabad,Nizamabad MC,9,Scheduled Caste,TJSP,5,,6,5.075,55.428
Telangana,2020,0,Nizamabad,Nizamabad MC,9,Scheduled Caste,IND,6,,6,2.18,55.428
Telangana,2020,0,Nizamabad,Nizamabad MC,9,Scheduled Caste,,7,,6,0.429,55.428
Telangana,2020,0,Nizamabad,Nizamabad MC,10,Backward Classes (Women),TRS,1,,6,36.14,54.879
Telangana,2020,0,Nizamabad,Nizamabad MC,10,Backward Classes (Women),INC,2,,6,28.747,54.879
Telangana,2020,0,Nizamabad,Nizamabad MC,10,Backward Classes (Women),BJP,3,,6,24.517,54.879
Telangana,2020,0,Nizamabad,Nizamabad MC,10,Backward Classes (Women),IND,4,,6,3.778,54.879
Telangana,2020,0,Nizamabad,Nizamabad MC,10,Backward Classes (Women),IND,5,,6,3.655,54.879
Telangana,2020,0,Nizamabad,Nizamabad MC,10,Backward Classes (Women),TDP,6,,6,0.78,54.879
Telangana,2020,0,Nizamabad,Nizamabad MC,10,Backward Classes (Women),,7,,6,0.37,54.879
Telangana,2020,0,Nizamabad,Nizamabad MC,11,Backward Class,TRS,1,,7,50.955,56.646
Telangana,2020,0,Nizamabad,Nizamabad MC,11,Backward Class,AIMIM,2,,7,21.416,56.646
Telangana,2020,0,Nizamabad,Nizamabad MC,11,Backward Class,IND,3,,7,11.94,56.646
Telangana,2020,0,Nizamabad,Nizamabad MC,11,Backward Class,BJP,4,,7,6.63,56.646
Telangana,2020,0,Nizamabad,Nizamabad MC,11,Backward Class,INC,5,,7,4.894,56.646
Telangana,2020,0,Nizamabad,Nizamabad MC,11,Backward Class,TDP,6,,7,0.555,56.646
Telangana,2020,0,Nizamabad,Nizamabad MC,11,Backward Class,TJSP,7,,7,0.208,56.646
Telangana,2020,0,Nizamabad,Nizamabad MC,11,Backward Class,,8,,7,0.937,56.646
Telangana,2020,0,Nizamabad,Nizamabad MC,12,Unreserved,AIMIM,1,,12,47.65,58.622
Telangana,2020,0,Nizamabad,Nizamabad MC,12,Unreserved,TRS,2,,12,25.178,58.622
Telangana,2020,0,Nizamabad,Nizamabad MC,12,Unreserved,IND,3,,12,12.215,58.622
Telangana,2020,0,Nizamabad,Nizamabad MC,12,Unreserved,IND,4,,12,3.241,58.622
Telangana,2020,0,Nizamabad,Nizamabad MC,12,Unreserved,TDP,5,,12,2.849,58.622
Telangana,2020,0,Nizamabad,Nizamabad MC,12,Unreserved,INC,6,,12,2.6,58.622
Telangana,2020,0,Nizamabad,Nizamabad MC,12,Unreserved,IND,7,,12,1.496,58.622
Telangana,2020,0,Nizamabad,Nizamabad MC,12,Unreserved,IND,8,,12,1.14,58.622
Telangana,2020,0,Nizamabad,Nizamabad MC,12,Unreserved,IND,9,,12,0.534,58.622
Telangana,2020,0,Nizamabad,Nizamabad MC,12,Unreserved,TJSP,10,,12,0.142,58.622
Telangana,2020,0,Nizamabad,Nizamabad MC,12,Unreserved,IND,11,,12,0.107,58.622
Telangana,2020,0,Nizamabad,Nizamabad MC,12,Unreserved,IND,12,,12,0,58.622
Telangana,2020,0,Nizamabad,Nizamabad MC,12,Unreserved,,13,,12,0.142,58.622
Telangana,2020,0,Nizamabad,Nizamabad MC,13,Unreserved,AIMIM,1,,7,34.707,73.765
Telangana,2020,0,Nizamabad,Nizamabad MC,13,Unreserved,IND,2,,7,27.811,73.765
Telangana,2020,0,Nizamabad,Nizamabad MC,13,Unreserved,BJP,3,,7,17.225,73.765
Telangana,2020,0,Nizamabad,Nizamabad MC,13,Unreserved,TRS,4,,7,14.936,73.765
Telangana,2020,0,Nizamabad,Nizamabad MC,13,Unreserved,INC,5,,7,2.175,73.765
Telangana,2020,0,Nizamabad,Nizamabad MC,13,Unreserved,IND,6,,7,0.601,73.765
Telangana,2020,0,Nizamabad,Nizamabad MC,13,Unreserved,IND,7,,7,0.229,73.765
Telangana,2020,0,Nizamabad,Nizamabad MC,13,Unreserved,,8,,7,0.258,73.765
Telangana,2020,0,Nizamabad,Nizamabad MC,14,Unreserved,AIMIM,1,,14,48.504,65.1
Telangana,2020,0,Nizamabad,Nizamabad MC,14,Unreserved,TRS,2,,14,21.373,65.1
Telangana,2020,0,Nizamabad,Nizamabad MC,14,Unreserved,BJP,3,,14,9.759,65.1
Telangana,2020,0,Nizamabad,Nizamabad MC,14,Unreserved,INC,4,,14,8.979,65.1
Telangana,2020,0,Nizamabad,Nizamabad MC,14,Unreserved,CPM,5,,14,4.424,65.1
Telangana,2020,0,Nizamabad,Nizamabad MC,14,Unreserved,IND,6,,14,3.058,65.1
Telangana,2020,0,Nizamabad,Nizamabad MC,14,Unreserved,IND,7,,14,0.846,65.1
Telangana,2020,0,Nizamabad,Nizamabad MC,14,Unreserved,IND,8,,14,0.39,65.1
Telangana,2020,0,Nizamabad,Nizamabad MC,14,Unreserved,IND,9,,14,0.358,65.1
Telangana,2020,0,Nizamabad,Nizamabad MC,14,Unreserved,IND,10,,14,0.325,65.1
Telangana,2020,0,Nizamabad,Nizamabad MC,14,Unreserved,IND,11,,14,0.228,65.1
Telangana,2020,0,Nizamabad,Nizamabad MC,14,Unreserved,IND,12,,14,0.13,65.1
Telangana,2020,0,Nizamabad,Nizamabad MC,14,Unreserved,IND,13,,14,0.065,65.1
Telangana,2020,0,Nizamabad,Nizamabad MC,14,Unreserved,IND,14,,14,0,65.1
Telangana,2020,0,Nizamabad,Nizamabad MC,14,Unreserved,,15,,14,0.228,65.1
Telangana,2020,0,Nizamabad,Nizamabad MC,15,Unreserved (Women),TRS,1,,7,43.29,73.224
Telangana,2020,0,Nizamabad,Nizamabad MC,15,Unreserved (Women),AIMIM,2,,7,29.845,73.224
Telangana,2020,0,Nizamabad,Nizamabad MC,15,Unreserved (Women),BJP,3,,7,7.538,73.224
Telangana,2020,0,Nizamabad,Nizamabad MC,15,Unreserved (Women),IND,4,,7,7.028,73.224
Telangana,2020,0,Nizamabad,Nizamabad MC,15,Unreserved (Women),INC,5,,7,5.78,73.224
Telangana,2020,0,Nizamabad,Nizamabad MC,15,Unreserved (Women),IND,6,,7,3.285,73.224
Telangana,2020,0,Nizamabad,Nizamabad MC,15,Unreserved (Women),IND,7,,7,0.509,73.224
Telangana,2020,0,Nizamabad,Nizamabad MC,15,Unreserved (Women),,8,,7,0.28,73.224
Telangana,2020,0,Nizamabad,Nizamabad MC,16,Unreserved (Women),BJP,1,,5,38.998,66.872
Telangana,2020,0,Nizamabad,Nizamabad MC,16,Unreserved (Women),TRS,2,,5,33.583,66.872
Telangana,2020,0,Nizamabad,Nizamabad MC,16,Unreserved (Women),INC,3,,5,17.886,66.872
Telangana,2020,0,Nizamabad,Nizamabad MC,16,Unreserved (Women),IND,4,,5,6.394,66.872
Telangana,2020,0,Nizamabad,Nizamabad MC,16,Unreserved (Women),IND,5,,5,0.634,66.872
Telangana,2020,0,Nizamabad,Nizamabad MC,16,Unreserved (Women),,6,,5,0.317,66.872
Telangana,2020,0,Nizamabad,Nizamabad MC,17,Backward Classes (Women),TRS,1,,7,40.253,63.866
Telangana,2020,0,Nizamabad,Nizamabad MC,17,Backward Classes (Women),BJP,2,,7,37.296,63.866
Telangana,2020,0,Nizamabad,Nizamabad MC,17,Backward Classes (Women),INC,3,,7,13.85,63.866
Telangana,2020,0,Nizamabad,Nizamabad MC,17,Backward Classes (Women),IND,4,,7,2.957,63.866
Telangana,2020,0,Nizamabad,Nizamabad MC,17,Backward Classes (Women),IND,5,,7,1.237,63.866
Telangana,2020,0,Nizamabad,Nizamabad MC,17,Backward Classes (Women),IND,6,,7,0.694,63.866
Telangana,2020,0,Nizamabad,Nizamabad MC,17,Backward Classes (Women),IND,7,,7,0.694,63.866
Telangana,2020,0,Nizamabad,Nizamabad MC,17,Backward Classes (Women),,8,,7,0.785,63.866
Telangana,2020,0,Nizamabad,Nizamabad MC,18,Scheduled Caste (Women),IND,1,,8,35.373,64.109
Telangana,2020,0,Nizamabad,Nizamabad MC,18,Scheduled Caste (Women),BJP,2,,8,27.068,64.109
Telangana,2020,0,Nizamabad,Nizamabad MC,18,Scheduled Caste (Women),TRS,3,,8,21.553,64.109
Telangana,2020,0,Nizamabad,Nizamabad MC,18,Scheduled Caste (Women),IND,4,,8,7.33,64.109
Telangana,2020,0,Nizamabad,Nizamabad MC,18,Scheduled Caste (Women),IND,5,,8,2.757,64.109
Telangana,2020,0,Nizamabad,Nizamabad MC,18,Scheduled Caste (Women),INC,6,,8,2.656,64.109
Telangana,2020,0,Nizamabad,Nizamabad MC,18,Scheduled Caste (Women),IND,7,,8,1.009,64.109
Telangana,2020,0,Nizamabad,Nizamabad MC,18,Scheduled Caste (Women),IND,8,,8,0.303,64.109
Telangana,2020,0,Nizamabad,Nizamabad MC,18,Scheduled Caste (Women),,9,,8,0.841,64.109
Telangana,2020,0,Nizamabad,Nizamabad MC,19,Unreserved (Women),BJP,1,,4,52.259,52.998
Telangana,2020,0,Nizamabad,Nizamabad MC,19,Unreserved (Women),TRS,2,,4,25.388,52.998
Telangana,2020,0,Nizamabad,Nizamabad MC,19,Unreserved (Women),INC,3,,4,18.938,52.998
Telangana,2020,0,Nizamabad,Nizamabad MC,19,Unreserved (Women),IND,4,,4,1.069,52.998
Telangana,2020,0,Nizamabad,Nizamabad MC,19,Unreserved (Women),,5,,4,0.483,52.998
Telangana,2020,0,Nizamabad,Nizamabad MC,20,Unreserved,BJP,1,,8,50.727,62.936
Telangana,2020,0,Nizamabad,Nizamabad MC,20,Unreserved,TRS,2,,8,37.993,62.936
Telangana,2020,0,Nizamabad,Nizamabad MC,20,Unreserved,INC,3,,8,5.606,62.936
Telangana,2020,0,Nizamabad,Nizamabad MC,20,Unreserved,IND,4,,8,2.63,62.936
Telangana,2020,0,Nizamabad,Nizamabad MC,20,Unreserved,TJSP,5,,8,0.657,62.936
Telangana,2020,0,Nizamabad,Nizamabad MC,20,Unreserved,IND,6,,8,0.623,62.936
Telangana,2020,0,Nizamabad,Nizamabad MC,20,Unreserved,TDP,7,,8,0.588,62.936
Telangana,2020,0,Nizamabad,Nizamabad MC,20,Unreserved,SFBP,8,,8,0.208,62.936
Telangana,2020,0,Nizamabad,Nizamabad MC,20,Unreserved,,9,,8,0.381,62.936
Telangana,2020,0,Nizamabad,Nizamabad MC,21,Backward Classes (Women),TRS,1,,4,50.623,58.824
Telangana,2020,0,Nizamabad,Nizamabad MC,21,Backward Classes (Women),BJP,2,,4,44.429,58.824
Telangana,2020,0,Nizamabad,Nizamabad MC,21,Backward Classes (Women),INC,3,,4,2.526,58.824
Telangana,2020,0,Nizamabad,Nizamabad MC,21,Backward Classes (Women),TJSP,4,,4,1.142,58.824
Telangana,2020,0,Nizamabad,Nizamabad MC,21,Backward Classes (Women),,5,,4,0.311,58.824
Telangana,2020,0,Nizamabad,Nizamabad MC,22,Unreserved (Women),BJP,1,,3,52.414,57.795
Telangana,2020,0,Nizamabad,Nizamabad MC,22,Unreserved (Women),TRS,2,,3,42.792,57.795
Telangana,2020,0,Nizamabad,Nizamabad MC,22,Unreserved (Women),INC,3,,3,3.033,57.795
Telangana,2020,0,Nizamabad,Nizamabad MC,22,Unreserved (Women),,4,,3,0.554,57.795
Telangana,2020,0,Nizamabad,Nizamabad MC,23,Unreserved,BJP,1,,3,57.097,59.612
Telangana,2020,0,Nizamabad,Nizamabad MC,23,Unreserved,TRS,2,,3,21.946,59.612
Telangana,2020,0,Nizamabad,Nizamabad MC,23,Unreserved,INC,3,,3,19.203,59.612
Telangana,2020,0,Nizamabad,Nizamabad MC,23,Unreserved,,4,,3,0.638,59.612
Telangana,2020,0,Nizamabad,Nizamabad MC,24,Backward Classes (Women),BJP,1,,7,64.539,66.122
Telangana,2020,0,Nizamabad,Nizamabad MC,24,Backward Classes (Women),IND,2,,7,17.346,66.122
Telangana,2020,0,Nizamabad,Nizamabad MC,24,Backward Classes (Women),TRS,3,,7,10.662,66.122
Telangana,2020,0,Nizamabad,Nizamabad MC,24,Backward Classes (Women),INC,4,,7,2.239,66.122
Telangana,2020,0,Nizamabad,Nizamabad MC,24,Backward Classes (Women),IND,5,,7,1.771,66.122
Telangana,2020,0,Nizamabad,Nizamabad MC,24,Backward Classes (Women),IND,6,,7,1.571,66.122
Telangana,2020,0,Nizamabad,Nizamabad MC,24,Backward Classes (Women),IND,7,,7,0.434,66.122
Telangana,2020,0,Nizamabad,Nizamabad MC,24,Backward Classes (Women),,8,,7,0.635,66.122
Telangana,2020,0,Nizamabad,Nizamabad MC,25,Backward Class,BJP,1,,8,45.833,63.717
Telangana,2020,0,Nizamabad,Nizamabad MC,25,Backward Class,INC,2,,8,20.423,63.717
Telangana,2020,0,Nizamabad,Nizamabad MC,25,Backward Class,TRS,3,,8,16.035,63.717
Telangana,2020,0,Nizamabad,Nizamabad MC,25,Backward Class,IND,4,,8,7.071,63.717
Telangana,2020,0,Nizamabad,Nizamabad MC,25,Backward Class,IND,5,,8,3.946,63.717
Telangana,2020,0,Nizamabad,Nizamabad MC,25,Backward Class,IND,6,,8,2.62,63.717
Telangana,2020,0,Nizamabad,Nizamabad MC,25,Backward Class,TDP,7,,8,0.758,63.717
Telangana,2020,0,Nizamabad,Nizamabad MC,25,Backward Class,IND,8,,8,0.758,63.717
Telangana,2020,0,Nizamabad,Nizamabad MC,25,Backward Class,,9,,8,0.758,63.717
Telangana,2020,0,Nizamabad,Nizamabad MC,26,Backward Classes (Women),BJP,1,,5,57.06,61.531
Telangana,2020,0,Nizamabad,Nizamabad MC,26,Backward Classes (Women),TRS,2,,5,35.56,61.531
Telangana,2020,0,Nizamabad,Nizamabad MC,26,Backward Classes (Women),IND,3,,5,2.562,61.531
Telangana,2020,0,Nizamabad,Nizamabad MC,26,Backward Classes (Women),INC,4,,5,2.135,61.531
Telangana,2020,0,Nizamabad,Nizamabad MC,26,Backward Classes (Women),IND,5,,5,0.854,61.531
Telangana,2020,0,Nizamabad,Nizamabad MC,26,Backward Classes (Women),,6,,5,0.579,61.531
Telangana,2020,0,Nizamabad,Nizamabad MC,27,Backward Class,BJP,1,,9,72.061,61.624
Telangana,2020,0,Nizamabad,Nizamabad MC,27,Backward Class,TRS,2,,9,19.767,61.624
Telangana,2020,0,Nizamabad,Nizamabad MC,27,Backward Class,INC,3,,9,1.712,61.624
Telangana,2020,0,Nizamabad,Nizamabad MC,27,Backward Class,IND,4,,9,1.486,61.624
Telangana,2020,0,Nizamabad,Nizamabad MC,27,Backward Class,IND,5,,9,1.001,61.624
Telangana,2020,0,Nizamabad,Nizamabad MC,27,Backward Class,IND,6,,9,0.711,61.624
Telangana,2020,0,Nizamabad,Nizamabad MC,27,Backward Class,IND,7,,9,0.581,61.624
Telangana,2020,0,Nizamabad,Nizamabad MC,27,Backward Class,IND,8,,9,0.581,61.624
Telangana,2020,0,Nizamabad,Nizamabad MC,27,Backward Class,IND,9,,9,0.42,61.624
Telangana,2020,0,Nizamabad,Nizamabad MC,27,Backward Class,,10,,9,0.484,61.624
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),BJP,1,,15,29.639,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),IND,2,,15,19.459,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),AIMIM,3,,15,18.034,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),TRS,4,,15,10.995,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),IND,5,,15,6.894,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),INC,6,,15,6.486,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),IND,7,,15,1.832,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),IND,8,,15,1.513,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),IND,9,,15,1.163,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),IND,10,,15,0.64,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),IND,11,,15,0.553,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),IND,12,,15,0.494,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),IND,13,,15,0.262,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),IND,14,,15,0.145,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),IND,15,,15,0.029,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,28,Unreserved (Women),,16,,15,0.262,60.21
Telangana,2020,0,Nizamabad,Nizamabad MC,29,Backward Class,AIMIM,1,,7,34.395,63.144
Telangana,2020,0,Nizamabad,Nizamabad MC,29,Backward Class,TRS,2,,7,30.776,63.144
Telangana,2020,0,Nizamabad,Nizamabad MC,29,Backward Class,INC,3,,7,19.646,63.144
Telangana,2020,0,Nizamabad,Nizamabad MC,29,Backward Class,IND,4,,7,10.748,63.144
Telangana,2020,0,Nizamabad,Nizamabad MC,29,Backward Class,IND,5,,7,1.551,63.144
Telangana,2020,0,Nizamabad,Nizamabad MC,29,Backward Class,TDP,6,,7,0.871,63.144
Telangana,2020,0,Nizamabad,Nizamabad MC,29,Backward Class,IND,7,,7,0.218,63.144
Telangana,2020,0,Nizamabad,Nizamabad MC,29,Backward Class,,8,,7,0.109,63.144
Telangana,2020,0,Nizamabad,Nizamabad MC,30,Backward Classes (Women),AIMIM,1,,5,69.446,64.463
Telangana,2020,0,Nizamabad,Nizamabad MC,30,Backward Classes (Women),TRS,2,,5,20.271,64.463
Telangana,2020,0,Nizamabad,Nizamabad MC,30,Backward Classes (Women),INC,3,,5,6.04,64.463
Telangana,2020,0,Nizamabad,Nizamabad MC,30,Backward Classes (Women),TJSP,4,,5,1.738,64.463
Telangana,2020,0,Nizamabad,Nizamabad MC,30,Backward Classes (Women),IND,5,,5,0.56,64.463
Telangana,2020,0,Nizamabad,Nizamabad MC,30,Backward Classes (Women),,6,,5,0.088,64.463
Telangana,2020,0,Nizamabad,Nizamabad MC,31,Backward Class,AIMIM,1,,7,74.041,62.457
Telangana,2020,0,Nizamabad,Nizamabad MC,31,Backward Class,TRS,2,,7,17.317,62.457
Telangana,2020,0,Nizamabad,Nizamabad MC,31,Backward Class,INC,3,,7,3.87,62.457
Telangana,2020,0,Nizamabad,Nizamabad MC,31,Backward Class,IND,4,,7,2.354,62.457
Telangana,2020,0,Nizamabad,Nizamabad MC,31,Backward Class,IND,5,,7,0.226,62.457
Telangana,2020,0,Nizamabad,Nizamabad MC,31,Backward Class,TDP,6,,7,0.193,62.457
Telangana,2020,0,Nizamabad,Nizamabad MC,31,Backward Class,IND,7,,7,0,62.457
Telangana,2020,0,Nizamabad,Nizamabad MC,31,Backward Class,,8,,7,0.097,62.457
Telangana,2020,0,Nizamabad,Nizamabad MC,32,Backward Classes (Women),AIMIM,1,,7,58.083,57.956
Telangana,2020,0,Nizamabad,Nizamabad MC,32,Backward Classes (Women),TRS,2,,7,26.132,57.956
Telangana,2020,0,Nizamabad,Nizamabad MC,32,Backward Classes (Women),INC,3,,7,13.022,57.956
Telangana,2020,0,Nizamabad,Nizamabad MC,32,Backward Classes (Women),IND,4,,7,0.529,57.956
Telangana,2020,0,Nizamabad,Nizamabad MC,32,Backward Classes (Women),IND,5,,7,0.412,57.956
Telangana,2020,0,Nizamabad,Nizamabad MC,32,Backward Classes (Women),TDP,6,,7,0.088,57.956
Telangana,2020,0,Nizamabad,Nizamabad MC,32,Backward Classes (Women),IND,7,,7,0.029,57.956
Telangana,2020,0,Nizamabad,Nizamabad MC,32,Backward Classes (Women),,8,,7,0.059,57.956
Telangana,2020,0,Nizamabad,Nizamabad MC,33,Backward Classes (Women),AIMIM,1,,7,37.432,57.777
Telangana,2020,0,Nizamabad,Nizamabad MC,33,Backward Classes (Women),TRS,2,,7,26.649,57.777
Telangana,2020,0,Nizamabad,Nizamabad MC,33,Backward Classes (Women),INC,3,,7,20.946,57.777
Telangana,2020,0,Nizamabad,Nizamabad MC,33,Backward Classes (Women),IND,4,,7,11.482,57.777
Telangana,2020,0,Nizamabad,Nizamabad MC,33,Backward Classes (Women),IND,5,,7,0.465,57.777
Telangana,2020,0,Nizamabad,Nizamabad MC,33,Backward Classes (Women),IND,6,,7,0.078,57.777
Telangana,2020,0,Nizamabad,Nizamabad MC,33,Backward Classes (Women),IND,7,,7,0,57.777
Telangana,2020,0,Nizamabad,Nizamabad MC,33,Backward Classes (Women),,8,,7,0.465,57.777
Telangana,2020,0,Nizamabad,Nizamabad MC,34,Unreserved (Women),TRS,1,,9,35.228,59.961
Telangana,2020,0,Nizamabad,Nizamabad MC,34,Unreserved (Women),BJP,2,,9,18.94,59.961
Telangana,2020,0,Nizamabad,Nizamabad MC,34,Unreserved (Women),IND,3,,9,17.791,59.961
Telangana,2020,0,Nizamabad,Nizamabad MC,34,Unreserved (Women),AIMIM,4,,9,13.785,59.961
