State_Name,Year,Polling_Date,Seat,Poll,District,LB_Type,LB_Code,LB_Name,Ward_Name,Ward_No,Ward_Reservation,OSN,Candidate_Name,Father_Husband_Name,Candidate_Name_O,Father_Husband_Name_O,Gender,Party_ID,Party_Name,Party_Abbreviation,Age,Category,Education,Votes,Position,Status,N_Cand,Valid_Votes,Vote_Share_Percentage,Deposit_Lost,Total_Electors,Total_Votes,Rejected_Votes,Voter_Turnout_Percentage,Affidavit,Notes
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,5,Unreserved (Women),2,EGA SOUJANYA,,,,,3482,CONGRESS,INC,,,,148,4,,5,4031,3.623,,5645,4085,54,72.365,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,5,Unreserved (Women),5,MUTHYALA RUKMINI,,,,,10809,Independent,IND,,,,17,5,,5,4031,0.416,,5645,4085,54,72.365,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,5,Unreserved (Women),,NOTA,,,,,,,,,,,12,6,,5,4031,0.294,,5645,4085,54,72.365,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,6,Backward Classes (Women),4,Shivalingari Uma Rani,,,,,1605,Bharatiya Janata Party,BJP,,,,2180,1,,5,2943,73.327,,5580,2973,30,53.28,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,6,Backward Classes (Women),1,AKULA SUJATHA,,,,,8284,Telangana Rashtra Samithi,TRS,,,,656,2,,5,2943,22.065,,5580,2973,30,53.28,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,6,Backward Classes (Women),5,SIRIGADHA SABITHA,,,,,10809,Independent,IND,,,,32,3,,5,2943,1.076,,5580,2973,30,53.28,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,6,Backward Classes (Women),2,PALDE KRUPA JYOTHI,,,,,8300,Telugu Desam,TDP,,,,25,4,,5,2943,0.841,,5580,2973,30,53.28,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,6,Backward Classes (Women),3,MANASA AENUGANTY,,,,,3040,All India Forward Bloc,AIFB,,,,24,5,,5,2943,0.807,,5580,2973,30,53.28,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,6,Backward Classes (Women),,NOTA,,,,,,,,,,,26,6,,5,2943,0.875,,5580,2973,30,53.28,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,7,Unreserved,2,SUKKA MADHU,,,,,1605,Bharatiya Janata Party,BJP,,,,969,1,,9,3328,28.917,,5318,3351,23,63.012,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,7,Unreserved,4,PAPAIAH AKULA,,,,,10809,Independent,IND,,,,913,2,,9,3328,27.246,,5318,3351,23,63.012,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,7,Unreserved,5,Anand Battikiri,,,,,10809,Independent,IND,,,,520,3,,9,3328,15.518,,5318,3351,23,63.012,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,7,Unreserved,3,SANTOSH KUMAR KANCHARLA,,,,,8284,Telangana Rashtra Samithi,TRS,,,,492,4,,9,3328,14.682,,5318,3351,23,63.012,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,7,Unreserved,1,RAMARTHI GOPI KRISHNA,,,,,3482,CONGRESS,INC,,,,260,5,,9,3328,7.759,,5318,3351,23,63.012,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,7,Unreserved,8,BANTU RAM KUMAR,,,,,10809,Independent,IND,,,,103,6,,9,3328,3.074,,5318,3351,23,63.012,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,7,Unreserved,9,P RAJU,,,,,10809,Independent,IND,,,,39,7,,9,3328,1.164,,5318,3351,23,63.012,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,7,Unreserved,7,GUJJA PRAVEEN,,,,,10809,Independent,IND,,,,8,8,,9,3328,0.239,,5318,3351,23,63.012,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,7,Unreserved,6,KADAM SONYBAI,,,,,10809,Independent,IND,,,,6,9,,9,3328,0.179,,5318,3351,23,63.012,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,7,Unreserved,,NOTA,,,,,,,,,,,18,10,,9,3328,0.537,,5318,3351,23,63.012,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,8,Backward Class,3,PATNAM VIKRAM GOUD,,,,,1605,Bharatiya Janata Party,BJP,,,,1566,1,,7,2629,59.05,,4734,2652,23,56.02,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,8,Backward Class,2,NAREDHAR GOUD YEMAGANTI,,,,,8284,Telangana Rashtra Samithi,TRS,,,,419,2,,7,2629,15.799,,4734,2652,23,56.02,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,8,Backward Class,6,MATAM PAVAN KUMAR,,,,,10809,Independent,IND,,,,303,3,,7,2629,11.425,,4734,2652,23,56.02,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,8,Backward Class,1,JILLALA RAMESH,,,,,3482,CONGRESS,INC,,,,182,4,,7,2629,6.863,,4734,2652,23,56.02,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,8,Backward Class,5,GELUGU SHANKARAPPA,,,,,10809,Independent,IND,,,,99,5,,7,2629,3.733,,4734,2652,23,56.02,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,8,Backward Class,7,SUNKE KANAKAIAH,,,,,10809,Independent,IND,,,,37,6,,7,2629,1.395,,4734,2652,23,56.02,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,8,Backward Class,4,PIDUGU RANJITH KUMAR,,,,,2444,Communist Part of India,CPI,,,,6,7,,7,2629,0.226,,4734,2652,23,56.02,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,8,Backward Class,,NOTA,,,,,,,,,,,17,8,,7,2629,0.641,,4734,2652,23,56.02,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,9,Scheduled Caste,4,SADHU SAIVARDHAN,,,,,1605,Bharatiya Janata Party,BJP,,,,1004,1,,6,2699,35.883,,5048,2798,99,55.428,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,9,Scheduled Caste,1,DANDU CHANDRE SHEKAR,,,,,8284,Telangana Rashtra Samithi,TRS,,,,889,2,,6,2699,31.773,,5048,2798,99,55.428,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,9,Scheduled Caste,3,SHARANAPUNUR SHIVA KUMAR,,,,,3040,All India Forward Bloc,AIFB,,,,437,3,,6,2699,15.618,,5048,2798,99,55.428,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,9,Scheduled Caste,2,Patti Shoban kumar,,,,,3482,CONGRESS,INC,,,,154,4,,6,2699,5.504,,5048,2798,99,55.428,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,9,Scheduled Caste,5,GINJOT KIRAN,,,,,8272,Telangana Jana Samithi,TJSP,,,,142,5,,6,2699,5.075,,5048,2798,99,55.428,,https://www.newindianexpress.com/cities/hyderabad/2020/dec/07/ghmc-results-independents-win-no-seats-but-cut-into-vote-share-of-others-2232779.html
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,9,Scheduled Caste,6,PONDURTHI RAJENDHER,,,,,10809,Independent,IND,,,,61,6,,6,2699,2.18,,5048,2798,99,55.428,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,9,Scheduled Caste,,NOTA,,,,,,,,,,,12,7,,6,2699,0.429,,5048,2798,99,55.428,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,10,Backward Classes (Women),4,Bodigam Komal,,,,,8284,Telangana Rashtra Samithi,TRS,,,,880,1,,6,2386,36.14,,4437,2435,49,54.879,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,10,Backward Classes (Women),1,Arshiya Firdouse,,,,,3482,CONGRESS,INC,,,,700,2,,6,2386,28.747,,4437,2435,49,54.879,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,10,Backward Classes (Women),3,Putta Jayalaxmi,,,,,1605,Bharatiya Janata Party,BJP,,,,597,3,,6,2386,24.517,,4437,2435,49,54.879,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,10,Backward Classes (Women),6,Lyyakat Begam,,,,,10809,Independent,IND,,,,92,4,,6,2386,3.778,,4437,2435,49,54.879,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,10,Backward Classes (Women),5,Laxmi Gopa Raju,,,,,10809,Independent,IND,,,,89,5,,6,2386,3.655,,4437,2435,49,54.879,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,10,Backward Classes (Women),2,Pallapu Laxmi,,,,,8300,Telugu Desam,TDP,,,,19,6,,6,2386,0.78,,4437,2435,49,54.879,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,10,Backward Classes (Women),,NOTA,,,,,,,,,,,9,7,,6,2386,0.37,,4437,2435,49,54.879,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,11,Backward Class,3,Dandu Neethu Kiran,,,,,8284,Telangana Rashtra Samithi,TRS,,,,1468,1,,7,2810,50.955,,5086,2881,71,56.646,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,11,Backward Class,4,M A Waheed Aveas,,,,,706,All India Majlis-E Ithehad-Ul Muslimeen,AIMIM,,,,617,2,,7,2810,21.416,,5086,2881,71,56.646,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,11,Backward Class,7,Mohammadi Begum,,,,,10809,Independent,IND,,,,344,3,,7,2810,11.94,,5086,2881,71,56.646,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,11,Backward Class,2,Gondala Suresh Babu,,,,,1605,Bharatiya Janata Party,BJP,,,,191,4,,7,2810,6.63,,5086,2881,71,56.646,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,11,Backward Class,1,Md Kareemuddin,,,,,3482,CONGRESS,INC,,,,141,5,,7,2810,4.894,,5086,2881,71,56.646,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,11,Backward Class,5,Shaik Imran,,,,,8300,Telugu Desam,TDP,,,,16,6,,7,2810,0.555,,5086,2881,71,56.646,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,11,Backward Class,6,Badhar Bee,,,,,8272,Telangana Jana Samithi,TJSP,,,,6,7,,7,2810,0.208,,5086,2881,71,56.646,,https://www.newindianexpress.com/cities/hyderabad/2020/dec/07/ghmc-results-independents-win-no-seats-but-cut-into-vote-share-of-others-2232779.html
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,11,Backward Class,,NOTA,,,,,,,,,,,27,8,,7,2810,0.937,,5086,2881,71,56.646,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,12,Unreserved,4,Meer Irshad Ali,,,,,706,All India Majlis-E Ithehad-Ul Muslimeen,AIMIM,,,,1338,1,,12,2732,47.65,,4790,2808,76,58.622,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,12,Unreserved,2,Mohammed Mateen,,,,,8284,Telangana Rashtra Samithi,TRS,,,,707,2,,12,2732,25.178,,4790,2808,76,58.622,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,12,Unreserved,11,shaik Suliman,,,,,10809,Independent,IND,,,,343,3,,12,2732,12.215,,4790,2808,76,58.622,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,12,Unreserved,10,Shaik Ismail,,,,,10809,Independent,IND,,,,91,4,,12,2732,3.241,,4790,2808,76,58.622,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,12,Unreserved,1,Nigar Fathima,,,,,8300,Telugu Desam,TDP,,,,80,5,,12,2732,2.849,,4790,2808,76,58.622,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,12,Unreserved,3,Mohammed Younus Younus,,,,,3482,CONGRESS,INC,,,,73,6,,12,2732,2.6,,4790,2808,76,58.622,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,12,Unreserved,8,Younus Khan,,,,,10809,Independent,IND,,,,42,7,,12,2732,1.496,,4790,2808,76,58.622,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,12,Unreserved,12,Syed Bilal,,,,,10809,Independent,IND,,,,32,8,,12,2732,1.14,,4790,2808,76,58.622,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,12,Unreserved,9,Rizwan Ahmed Khan,,,,,10809,Independent,IND,,,,15,9,,12,2732,0.534,,4790,2808,76,58.622,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,12,Unreserved,5,Salam Bin YAHIYA,,,,,8272,Telangana Jana Samithi,TJSP,,,,4,10,,12,2732,0.142,,4790,2808,76,58.622,,https://www.newindianexpress.com/cities/hyderabad/2020/dec/07/ghmc-results-independents-win-no-seats-but-cut-into-vote-share-of-others-2232779.html
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,12,Unreserved,7,Mohammed Anessuddin,,,,,10809,Independent,IND,,,,3,11,,12,2732,0.107,,4790,2808,76,58.622,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,12,Unreserved,6,Feroz Khan,,,,,10809,Independent,IND,,,,0,12,,12,2732,0,,4790,2808,76,58.622,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,12,Unreserved,,NOTA,,,,,,,,,,,4,13,,12,2732,0.142,,4790,2808,76,58.622,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,13,Unreserved,4,MOHAMMED HAROON KHAN,,,,,706,All India Majlis-E Ithehad-Ul Muslimeen,AIMIM,,,,1213,1,,7,3423,34.707,,4738,3495,72,73.765,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,13,Unreserved,7,D HARI CHAND,,,,,10809,Independent,IND,,,,972,2,,7,3423,27.811,,4738,3495,72,73.765,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,13,Unreserved,3,K NAGESH,,,,,1605,Bharatiya Janata Party,BJP,,,,602,3,,7,3423,17.225,,4738,3495,72,73.765,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,13,Unreserved,1,ABDUL QAYYUM MOHAMMED,,,,,8284,Telangana Rashtra Samithi,TRS,,,,522,4,,7,3423,14.936,,4738,3495,72,73.765,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,13,Unreserved,2,KETHAVATH RAM SING,,,,,3482,CONGRESS,INC,,,,76,5,,7,3423,2.175,,4738,3495,72,73.765,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,13,Unreserved,5,NINGARVAI NARSIMLU,,,,,10809,Independent,IND,,,,21,6,,7,3423,0.601,,4738,3495,72,73.765,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,13,Unreserved,6,SHAIK NAZEER,,,,,10809,Independent,IND,,,,8,7,,7,3423,0.229,,4738,3495,72,73.765,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,13,Unreserved,,NOTA,,,,,,,,,,,9,8,,7,3423,0.258,,4738,3495,72,73.765,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,14,Unreserved,2,MOHAMMED IDREES KHAN,,,,,706,All India Majlis-E Ithehad-Ul Muslimeen,AIMIM,,,,1491,1,,14,3033,48.504,,4722,3074,41,65.1,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,14,Unreserved,4,MIR MAJAZ ALI,,,,,8284,Telangana Rashtra Samithi,TRS,,,,657,2,,14,3033,21.373,,4722,3074,41,65.1,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,14,Unreserved,5,M RANJITH,,,,,1605,Bharatiya Janata Party,BJP,,,,300,3,,14,3033,9.759,,4722,3074,41,65.1,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,14,Unreserved,3,MOHAMMED MASOOD AHMED,,,,,3482,CONGRESS,INC,,,,276,4,,14,3033,8.979,,4722,3074,41,65.1,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,14,Unreserved,1,MALYALA GOVARDHAN,,,,,14635,COMMUNIST MARXIST PARTY OF INDIA,CPM,,,,136,5,,14,3033,4.424,,4722,3074,41,65.1,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,14,Unreserved,12,SAMEER KHAN M D,,,,,10809,Independent,IND,,,,94,6,,14,3033,3.058,,4722,3074,41,65.1,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,14,Unreserved,9,M D AKBAR KHAN,,,,,10809,Independent,IND,,,,26,7,,14,3033,0.846,,4722,3074,41,65.1,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,14,Unreserved,10,SHARUK KHAN,,,,,10809,Independent,IND,,,,12,8,,14,3033,0.39,,4722,3074,41,65.1,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,14,Unreserved,14,SYED SALMAN ATHER,,,,,10809,Independent,IND,,,,11,9,,14,3033,0.358,,4722,3074,41,65.1,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,14,Unreserved,6,BILLY LAXMAN,,,,,10809,Independent,IND,,,,10,10,,14,3033,0.325,,4722,3074,41,65.1,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,14,Unreserved,13,SYED SHAKEEL,,,,,10809,Independent,IND,,,,7,11,,14,3033,0.228,,4722,3074,41,65.1,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,14,Unreserved,11,SHAIK AZEEM UDDIN,,,,,10809,Independent,IND,,,,4,12,,14,3033,0.13,,4722,3074,41,65.1,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,14,Unreserved,7,MASHALAKAR SHIVA KUMAR,,,,,10809,Independent,IND,,,,2,13,,14,3033,0.065,,4722,3074,41,65.1,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,14,Unreserved,8,MOHAMMAD NOORUDDIN,,,,,10809,Independent,IND,,,,0,14,,14,3033,0,,4722,3074,41,65.1,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,14,Unreserved,,NOTA,,,,,,,,,,,7,15,,14,3033,0.228,,4722,3074,41,65.1,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,15,Unreserved (Women),3,MUCHKUR LAVANYA,,,,,8284,Telangana Rashtra Samithi,TRS,,,,1700,1,,7,3831,43.29,,5363,3927,96,73.224,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,15,Unreserved (Women),4,SHAHEEN BEGUM,,,,,706,All India Majlis-E Ithehad-Ul Muslimeen,AIMIM,,,,1172,2,,7,3831,29.845,,5363,3927,96,73.224,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,15,Unreserved (Women),1,KAVITHA CHERUKURI,,,,,1605,Bharatiya Janata Party,BJP,,,,296,3,,7,3831,7.538,,5363,3927,96,73.224,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,15,Unreserved (Women),5,ASIFA TARANUM,,,,,10809,Independent,IND,,,,276,4,,7,3831,7.028,,5363,3927,96,73.224,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,15,Unreserved (Women),2,THUTIKURA GANGAMANI,,,,,3482,CONGRESS,INC,,,,227,5,,7,3831,5.78,,5363,3927,96,73.224,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,15,Unreserved (Women),7,WAHEEDA BEGUM,,,,,10809,Independent,IND,,,,129,6,,7,3831,3.285,,5363,3927,96,73.224,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,15,Unreserved (Women),6,JERRI POTHULA KAVITHA,,,,,10809,Independent,IND,,,,20,7,,7,3831,0.509,,5363,3927,96,73.224,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,15,Unreserved (Women),,NOTA,,,,,,,,,,,11,8,,7,3831,0.28,,5363,3927,96,73.224,,
